DATE,HOUR,TAVG,PREC,RHAVG,RAD,W_INT_AVG
1999-03-05,21,-3.8,0,81.8,0.0,1.1
1999-03-05,22,-4.3,0,81.6,0.0,1.7
1999-03-05,23,-4.2,0,80.6,0.0,1.9
1999-03-06,0,-4.3,0,81.1,0.0,0.8
1999-03-06,1,-5.3,0,84.5,0.0,0.3
1999-03-06,2,-6.4,0,86.8,0.0,0.2
1999-03-06,3,-6.9,0,87.2,0.0,0.2
1999-03-06,4,-7,0,86.2,0.0,0.3
1999-03-06,5,-7.2,0,83.9,0.0,0.5
1999-03-06,6,-7.7,0,86.9,0.0,0.2
1999-03-06,7,-7.5,0,84.2,27.4,0.2
1999-03-06,8,-3.9,0,66.1,157.2,0.2
1999-03-06,9,-1.9,0,56,333.4,2.0
1999-03-06,10,-0.6,0,51,441.5,2.2
1999-03-06,11,0.8,0,48.4,586.1,2.1
1999-03-06,12,2.1,0,44.5,612.5,2.4
1999-03-06,13,3,0,38.4,602.3,2.7
1999-03-06,14,3.8,0,37.6,509.2,2.6
1999-03-06,15,4.2,0,35.4,340.6,1.8
1999-03-06,16,4.5,0,31.9,274.9,1.8
1999-03-06,17,4.1,0,33.6,93.9,0.6
1999-03-06,18,1.8,0,45.2,19.2,0.8
1999-03-06,19,-1.1,0,59.7,0.0,0.7
1999-03-06,20,-2.6,0,66.4,0.1,0.2
1999-03-06,21,-3.4,0,71.2,0.0,0.2
1999-03-06,22,-3.9,0,73.2,0.0,0.3
1999-03-06,23,-4.3,0,72.7,0.0,0.2
1999-03-07,0,-5.4,0,76.4,0.0,0.2
1999-03-07,1,-5.9,0,79.3,0.0,0.2
1999-03-07,2,-6.5,0,79.1,0.0,0.2
1999-03-07,3,-7.4,0,84,0.0,0.3
1999-03-07,4,-6.9,0,81.8,0.0,0.3
1999-03-07,5,-7,0,83.5,0.0,0.2
1999-03-07,6,-7.6,0,85.7,0.0,0.3
1999-03-07,7,-7.8,0,87.2,14.4,0.3
1999-03-07,8,-5.1,0,73.3,137.7,0.4
1999-03-07,9,-1.1,0,58.1,316.9,0.6
1999-03-07,10,0.2,0,62.3,434.6,4.1
1999-03-07,11,0.8,0,62.1,557.1,5.5
1999-03-07,12,1.5,0,61.7,711.0,5.2
1999-03-07,13,2,0,59.2,680.4,5.5
1999-03-07,14,2.7,0,54.6,805.0,5.2
1999-03-07,15,2.7,0,53.8,349.3,4.4
1999-03-07,16,3,0,49.8,301.4,4.4
1999-03-07,17,2.5,0,52.9,123.7,3.4
1999-03-07,18,1.6,0,58.8,9.8,1.6
1999-03-07,19,-0.3,0,69.3,0.0,0.3
1999-03-07,20,-2,0,78.1,0.1,0.6
1999-03-07,21,-3,0,81.3,0.1,0.3
1999-03-07,22,-3.5,0,82,0.0,0.5
1999-03-07,23,-3.9,0,84,0.0,0.2
1999-03-08,0,-4.2,0,84.9,0.0,0.2
1999-03-08,1,-4.2,0,85.2,0.0,0.3
1999-03-08,2,-5.2,0,89.5,0.0,0.2
1999-03-08,3,-5.1,0,88.6,0.0,0.4
1999-03-08,4,-5.1,0,87.4,0.0,0.2
1999-03-08,5,-5,0,88.4,0.0,0.2
1999-03-08,6,-5.3,0,88.2,0.1,1.0
1999-03-08,7,-4.5,0,83.2,32.0,1.0
1999-03-08,8,-3,0,73,198.2,2.0
1999-03-08,9,-0.9,0,64.8,298.5,2.3
1999-03-08,10,1.2,0,57.7,360.8,2.9
1999-03-08,11,2.2,0,53.4,341.5,3.3
1999-03-08,12,2.9,0,51.8,303.5,3.3
1999-03-08,13,4.1,0,48.9,401.6,3.4
1999-03-08,14,4.9,0,45.7,238.7,2.6
1999-03-08,15,5.1,0,43.3,158.1,2.1
1999-03-08,16,5.1,0,43.6,127.0,1.9
1999-03-08,17,5.3,0,42.8,102.7,2.1
1999-03-08,18,4.7,0,44.1,10.7,1.9
1999-03-08,19,2.9,0,55.3,0.0,0.2
1999-03-08,20,0.9,0,66.1,0.0,0.2
1999-03-08,21,-0.3,0,72.1,0.0,0.4
1999-03-08,22,-1.1,0,76.2,0.0,0.7
1999-03-08,23,-1.8,0,79.7,0.1,0.4
1999-03-09,0,-1.7,0,80.5,0.0,0.5
1999-03-09,1,-1.4,0,79.1,0.0,1.0
1999-03-09,2,-2,0,81.2,0.0,0.4
1999-03-09,3,-2.4,0,81.1,0.0,0.6
1999-03-09,4,-3,0,84,0.0,0.4
1999-03-09,5,-2,0,80.4,0.0,0.4
1999-03-09,6,-1.4,0,80,0.1,0.5
1999-03-09,7,-1,0,77.8,21.3,0.7
1999-03-09,8,0.8,0,67.8,152.9,1.0
1999-03-09,9,2.7,0,56.8,155.1,1.0
1999-03-09,10,2.5,0,64.3,132.9,2.6
1999-03-09,11,0.1,0,91.2,195.5,5.2
1999-03-09,12,0,0,90.1,177.5,5.6
1999-03-09,13,-0.6,0,91,222.6,5.4
1999-03-09,14,0.3,0,89.7,312.6,4.2
1999-03-09,15,1.6,0,80.9,338.4,3.3
1999-03-09,16,2.7,0,67,262.2,3.9
